apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Fred,Fluminense,Atacante,12.0,0.0,0.0,0.0,1,0
Felipe Azevedo,América-MG,Atacante,6.34,5.1,2.34,5.1,1,1
Rossi,Bahia,Atacante,12.25,9.6,4.25,9.6,1,1
Marinho,Santos,Atacante,20.19,6.0,-2.81,6.0,1,1
Luciano,São Paulo,Atacante,12.32,-0.3,-5.68,-0.3,1,1
Rodolfo José,América-MG,Atacante,7.24,3.4,0.24,3.4,1,1
Carlos Alberto,América-MG,Atacante,2.0,0.0,0.0,0.0,1,0
Leandro Carvalho,América-MG,Atacante,5.0,0.0,0.0,0.0,1,0
Vitinho,Athlético-PR,Atacante,5.85,3.4,0.85,3.4,1,1
Ribamar,América-MG,Atacante,3.0,0.0,0.0,0.0,1,0
Léo Passos,América-MG,Atacante,4.0,0.0,0.0,0.0,1,0
Matheus Peixoto,Juventude,Atacante,10.72,11.4,6.72,11.4,1,1
Danilo Gomes,São Paulo,Atacante,4.0,0.0,0.0,0.0,1,0
Ademir,América-MG,Atacante,6.27,2.0,-0.73,2.0,1,1
Jô,Corinthians,Atacante,6.06,0.7,-1.94,0.7,1,1
Carlos Eduardo,Athlético-PR,Atacante,8.91,6.8,2.91,6.8,1,1
Luiz Adriano,Palmeiras,Atacante,8.15,1.7,-1.85,1.7,1,1
Janderson,Atlético-GO,Atacante,5.0,0.0,0.0,0.0,1,0
Marcelo Toscano,América-MG,Atacante,4.0,0.0,0.0,0.0,1,0
Matheus Babi,Athlético-PR,Atacante,5.5,0.9,-1.5,0.9,1,1
Kawê,América-MG,Atacante,1.0,0.0,0.0,0.0,1,0
Elton,Cuiabá,Atacante,10.79,8.5,3.79,8.5,1,1
Lohan ,América-MG,Atacante,1.0,0.0,0.0,0.0,1,0
Alesson,Bahia,Atacante,3.0,0.0,0.0,0.0,1,0
Keno,Atlético-MG,Atacante,16.0,0.0,0.0,0.0,1,0
Sávio,Atlético-MG,Atacante,3.41,1.9,0.41,1.9,1,1
Eder,São Paulo,Atacante,6.34,1.1,-1.66,1.1,1,1
Vitor Bueno,São Paulo,Atacante,6.0,0.0,0.0,0.0,1,0
Pablo,São Paulo,Atacante,5.57,1.0,-1.43,1.0,1,1
Ytalo,Bragantino,Atacante,11.0,7.8,3.0,7.8,1,1
Marrony,Atlético-MG,Atacante,5.29,1.6,-0.71,1.6,1,1
Cuello,Bragantino,Atacante,3.62,2.2,0.62,2.2,1,1
Savarino,Atlético-MG,Atacante,6.82,-0.2,-3.18,-0.2,1,1
Alerrandro,Bragantino,Atacante,7.0,0.0,0.0,0.0,1,0
Maycon Douglas,Bahia,Atacante,2.09,-1.0,-1.91,-1.0,1,1
Echaporã,Atlético-MG,Atacante,2.0,0.0,0.0,0.0,1,0
Joao Rojas,São Paulo,Atacante,6.4,3.2,0.4,3.2,1,1
Paulinho Bóia,São Paulo,Atacante,2.0,0.0,0.0,0.0,1,0
Pedrinho,Bragantino,Atacante,3.34,0.8,-0.66,0.8,1,1
Luis Phelipe,Bragantino,Atacante,2.0,0.0,0.0,0.0,1,0
Chrigor,Bragantino,Atacante,2.0,0.0,0.0,0.0,1,0
Leandrinho,Bragantino,Atacante,3.0,0.0,0.0,0.0,1,0
Bruno Rodrigues,São Paulo,Atacante,3.0,0.0,0.0,0.0,1,0
Bruno Tubarão,Bragantino,Atacante,5.0,0.0,0.0,0.0,1,0
Galeano,São Paulo,Atacante,3.0,0.0,0.0,0.0,1,0
Saulo Mineiro,Ceará,Atacante,8.42,7.1,3.42,7.1,1,1
Jael,Ceará,Atacante,6.0,0.0,0.0,0.0,1,0
Hurtado,Bragantino,Atacante,4.0,0.0,0.0,0.0,1,0
Anselmo Ramon,Chapecoense,Atacante,4.39,0.3,-1.61,0.3,1,1
Cléber,Ceará,Atacante,12.81,11.4,5.81,11.4,1,1
Felipe Vizeu,Ceará,Atacante,5.0,0.0,0.0,0.0,1,0
Rick,Ceará,Atacante,10.58,12.2,7.58,12.2,1,1
Mike,Chapecoense,Atacante,2.16,0.1,-0.84,0.1,1,1
Fernandinho,Chapecoense,Atacante,1.0,0.0,0.0,0.0,1,0
Bruno Silva,Chapecoense,Atacante,1.95,-0.2,-1.05,-0.2,1,1
Thiago Ribeiro,Chapecoense,Atacante,4.0,0.0,0.0,0.0,1,0
Geuvânio,Chapecoense,Atacante,3.83,1.5,-0.17,1.5,1,1
Fabinho,Chapecoense,Atacante,3.0,0.0,0.0,0.0,1,0
Kaio,Chapecoense,Atacante,1.0,0.0,0.0,0.0,1,0
Paulinho Moccelin,Sport,Atacante,4.53,2.5,0.53,2.5,1,1
Michael,Flamengo,Atacante,3.27,0.7,-0.73,0.7,1,1
Rodrigo Muniz,Flamengo,Atacante,2.44,-0.5,-1.56,-0.5,1,1
Reinaldo,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,1,0
Thiaguinho,Flamengo,Atacante,2.0,0.0,0.0,0.0,1,0
Lucca,Fluminense,Atacante,5.0,0.0,0.0,0.0,1,0
Pedro,Flamengo,Atacante,12.67,8.2,2.67,8.2,1,1
Vinicius Mingotti,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,1,0
Roberson,Juventude,Atacante,5.0,0.0,0.0,0.0,1,0
Gustavo Mosquito,Corinthians,Atacante,6.2,1.9,-0.8,1.9,1,1
Léo Natel,Corinthians,Atacante,5.0,0.0,0.0,0.0,1,0
Taison,Internacional,Atacante,10.09,2.5,-1.91,2.5,1,1
Cauê,Corinthians,Atacante,2.0,0.0,0.0,0.0,1,0
Thiago Galhardo,Internacional,Atacante,10.44,0.0,-4.56,0.0,1,1
Abel Hernández,Fluminense,Atacante,4.66,0.7,-1.34,0.7,1,1
Pablo Dyego,Atlético-GO,Atacante,3.0,0.0,0.0,0.0,1,0
André Luís,Atlético-GO,Atacante,4.0,0.0,0.0,0.0,1,0
Yuri Alberto,Internacional,Atacante,3.76,-0.6,-2.24,-0.6,1,1
Bobadilla,Fluminense,Atacante,5.92,0.5,-2.08,0.5,1,1
Paolo Guerrero,Internacional,Atacante,13.0,0.0,0.0,0.0,1,0
Arthur Gomes,Atlético-GO,Atacante,5.0,0.0,0.0,0.0,1,0
Caio Vidal,Internacional,Atacante,5.57,3.0,0.57,3.0,1,1
Peglow,Internacional,Atacante,3.0,0.0,0.0,0.0,1,0
Rony,Palmeiras,Atacante,9.54,1.7,-2.46,1.7,1,1
Palacios,Internacional,Atacante,2.99,-1.7,-3.01,-1.7,1,1
Maxi Zalazar,Internacional,Atacante,2.0,0.0,0.0,0.0,1,0
Renyer,Santos,Atacante,2.0,0.0,0.0,0.0,1,0
Breno Lopes,Palmeiras,Atacante,6.0,0.0,0.0,0.0,1,0
Willian,Palmeiras,Atacante,9.0,0.0,0.0,0.0,1,0
Caio Paulista,Fluminense,Atacante,8.35,9.0,5.35,9.0,1,1
Marcos Guilherme ,Santos,Atacante,3.97,0.7,-1.03,0.7,1,1
John Kennedy,Fluminense,Atacante,4.0,0.0,0.0,0.0,1,0
Wellington Paulista,Fortaleza,Atacante,4.59,-1.4,-3.41,-1.4,1,1
Kayky,Fluminense,Atacante,4.87,1.0,-1.13,1.0,1,1
Renato Kayzer,Athlético-PR,Atacante,9.96,3.3,-1.04,3.3,1,1
Zé Roberto,Atlético-GO,Atacante,10.79,9.5,4.79,9.5,1,1
David,Fortaleza,Atacante,8.56,5.3,1.56,5.3,1,1
Rafael Elias,Cuiabá,Atacante,1.32,-0.1,-0.68,-0.1,1,1
Hulk,Atlético-MG,Atacante,17.68,12.4,4.68,12.4,1,1
Diego Souza,Grêmio,Atacante,19.0,0.0,0.0,0.0,1,0
Gabriel Veron,Palmeiras,Atacante,5.0,0.0,0.0,0.0,1,0
Wesley,Palmeiras,Atacante,4.66,-1.3,-3.34,-1.3,1,1
Jonathan Cafu,Cuiabá,Atacante,10.3,11.8,7.3,11.8,1,1
Pepê,Grêmio,Atacante,10.0,0.0,0.0,0.0,1,0
Osman,Cuiabá,Atacante,3.0,0.0,0.0,0.0,1,0
Gabriel Silva,Palmeiras,Atacante,2.0,0.0,0.0,0.0,1,0
Léo Chú,Grêmio,Atacante,8.22,5.8,2.22,5.8,1,1
Alan Mendez,Cuiabá,Atacante,2.0,0.0,0.0,0.0,1,0
Guilherme Pato,Cuiabá,Atacante,6.06,5.7,3.06,5.7,1,1
Churín,Grêmio,Atacante,5.0,0.0,0.0,0.0,1,0
Diego Tardelli,Atlético-MG,Atacante,6.0,0.0,0.0,0.0,1,0
Osvaldo,Fortaleza,Atacante,6.0,0.0,0.0,0.0,1,0
Guilherme Azevedo,Grêmio,Atacante,2.09,0.0,-0.91,0.0,1,1
Eduardo Sasha,Atlético-MG,Atacante,7.0,0.0,0.0,0.0,1,0
Léo Pereira,Grêmio,Atacante,1.32,-0.1,-0.68,-0.1,1,1
Romarinho,Fortaleza,Atacante,5.5,1.9,-0.5,1.9,1,1
Ricardinho,Grêmio,Atacante,9.61,9.8,5.61,9.8,1,1
Vargas,Atlético-MG,Atacante,6.82,0.8,-2.18,0.8,1,1
Robson,Fortaleza,Atacante,10.03,7.4,3.03,7.4,1,1
Tréllez,Sport,Atacante,4.0,0.0,0.0,0.0,1,0
Capixaba,Juventude,Atacante,8.56,6.3,2.56,6.3,1,1
Rafael Grampola,Juventude,Atacante,3.0,0.0,0.0,0.0,1,0
Artur,Bragantino,Atacante,7.66,2.0,-1.34,2.0,1,1
Helinho,Bragantino,Atacante,13.92,15.0,8.92,15.0,1,1
Raul,Cuiabá,Atacante,2.0,0.0,0.0,0.0,1,0
Yony González,Ceará,Atacante,2.37,-1.6,-2.63,-1.6,1,1
Isaque,Fortaleza,Atacante,5.0,0.0,0.0,0.0,1,0
Nicolas,Juventude,Atacante,1.0,0.0,0.0,0.0,1,0
Luiz Fernando ,Grêmio,Atacante,5.0,0.0,0.0,0.0,1,0
Bruno Henrique,Flamengo,Atacante,18.52,10.6,2.52,10.6,1,1
Victor Jacaré,Ceará,Atacante,3.0,0.0,0.0,0.0,1,0
Toró,Sport,Atacante,5.0,0.0,0.0,0.0,1,0
Perotti,Chapecoense,Atacante,6.2,2.9,0.2,2.9,1,1
Mikael,Sport,Atacante,3.83,0.5,-1.17,0.5,1,1
Vitinho,Flamengo,Atacante,5.01,0.2,-1.99,0.2,1,1
Igor Torres,Fortaleza,Atacante,3.0,0.0,0.0,0.0,1,0
Mendoza,Ceará,Atacante,8.0,0.0,0.0,0.0,1,0
Marcos Vinicios,Juventude,Atacante,1.32,-0.1,-0.68,-0.1,1,1
Wellington Nem,Fortaleza,Atacante,4.0,0.0,0.0,0.0,1,0
Copete,Santos,Atacante,3.0,0.0,0.0,0.0,1,0
Maxwell,Sport,Atacante,3.13,1.5,0.13,1.5,1,1
Marquinhos,Sport,Atacante,3.55,1.1,-0.45,1.1,1,1
Clayson,Cuiabá,Atacante,7.38,5.6,2.38,5.6,1,1
Gabriel,Flamengo,Atacante,22.0,0.0,0.0,0.0,1,0
Everaldo ,Sport,Atacante,5.0,0.0,0.0,0.0,1,0
Leandro Barcia,Sport,Atacante,4.0,0.0,0.0,0.0,1,0
Lucas Braga,Santos,Atacante,3.62,-0.8,-2.38,-0.8,1,1
Raniel,Santos,Atacante,5.0,0.0,0.0,0.0,1,0
Gabriel Novaes,Bragantino,Atacante,2.78,0.0,-1.22,0.0,1,1
Thiago Moraes ,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,1,0
Jajá,Athlético-PR,Atacante,1.0,0.0,0.0,0.0,1,0
João Victor,Ceará,Atacante,2.58,2.7,1.58,2.7,1,1
Yago,Athlético-PR,Atacante,1.0,0.0,0.0,0.0,1,0
Ferreira,Grêmio,Atacante,11.0,0.0,0.0,0.0,1,0
Lucas Venuto,Santos,Atacante,2.0,0.0,0.0,0.0,1,0
Newton ,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Rodrigo Varanda,Corinthians,Atacante,3.0,0.0,0.0,0.0,1,0
Giovani,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Luan Silva,Palmeiras,Atacante,2.0,0.0,0.0,0.0,1,0
André,Sport,Atacante,10.65,9.3,4.65,9.3,1,1
Ronald,Atlético-GO,Atacante,2.78,3.0,1.78,3.0,1,1
Mateus Lima,Flamengo,Atacante,1.0,0.0,0.0,0.0,1,0
Elias,Grêmio,Atacante,2.0,0.0,0.0,0.0,1,0
Julimar,Athlético-PR,Atacante,1.0,0.0,0.0,0.0,1,0
Kevin,Atlético-GO,Atacante,1.0,0.0,0.0,0.0,1,0
Rigoni,São Paulo,Atacante,5.0,0.0,0.0,0.0,1,0
Gilberto,Bahia,Atacante,4.39,1.3,-0.61,1.3,1,1
Gustavo Coutinho,Fortaleza,Atacante,2.0,0.0,0.0,0.0,1,0
Luiz Fernando,América-MG,Atacante,3.0,0.0,0.0,0.0,1,0
Douglas Costa,Grêmio,Atacante,17.0,0.0,0.0,0.0,1,0
Marino,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Fernando Pacheco,Juventude,Atacante,2.44,-0.5,-1.56,-0.5,1,1
Alan Grafite,Chapecoense,Atacante,3.0,0.0,0.0,0.0,1,0
Deyverson,Palmeiras,Atacante,5.0,0.0,0.0,0.0,1,0
Marcelinho,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Pedro Acácio,Palmeiras,Atacante,1.0,0.0,0.0,0.0,1,0
Jenison,Cuiabá,Atacante,1.0,0.0,0.0,0.0,1,0
Wendson,Ceará,Atacante,0.7,0.0,-0.3,0.0,1,1
João Neto,Fluminense,Atacante,1.0,0.0,0.0,0.0,1,0
Matheus Martins,Fluminense,Atacante,1.0,0.0,0.0,0.0,1,0
Lázaro,Flamengo,Atacante,2.0,0.0,0.0,0.0,1,0
Alexandre Jesus,Fluminense,Atacante,1.0,0.0,0.0,0.0,1,0
Felipe Marques,Cuiabá,Atacante,2.09,0.0,-0.91,0.0,1,1
Luiz Henrique,Fluminense,Atacante,4.11,0.9,-0.89,0.9,1,1
Lucão,Atlético-GO,Atacante,0.7,-1.1,-1.3,-1.1,1,1
Kaio Jorge,Santos,Atacante,5.43,0.8,-1.57,0.8,1,1
Vitinho,América-MG,Atacante,1.0,0.0,0.0,0.0,1,0
Marcelo Ryan ,Bahia,Atacante,2.0,0.0,0.0,0.0,1,0
Bruno Marques,Santos,Atacante,4.0,0.0,0.0,0.0,1,0
Ângelo,Santos,Atacante,1.95,-0.2,-1.05,-0.2,1,1
Marcos Leonardo,Santos,Atacante,3.48,0.0,-1.52,0.0,1,1
Hernane,Sport,Atacante,5.0,0.0,0.0,0.0,1,0
Neilton,Sport,Atacante,6.0,0.0,0.0,0.0,1,0
Gilberto,Bahia,Atacante,13.28,22.8,8.89,12.05,2,2
Zé Roberto,Atlético-GO,Atacante,11.24,1.9,0.45,5.7,2,2
Eduardo Sasha,Atlético-MG,Atacante,7.0,0.0,0.0,0.0,2,0
Hulk,Atlético-MG,Atacante,21.19,11.7,3.51,12.05,2,2
Rossi,Bahia,Atacante,11.54,0.1,-0.71,4.85,2,2
Vargas,Atlético-MG,Atacante,6.82,0.0,0.0,0.8,2,1
Clayson,Cuiabá,Atacante,6.92,0.1,-0.46,2.85,2,2
Bruno Henrique,Flamengo,Atacante,18.52,0.0,0.0,10.6,2,1
Perotti,Chapecoense,Atacante,6.2,0.0,0.0,2.9,2,1
Gabriel,Flamengo,Atacante,22.0,0.0,0.0,0.0,2,0
Vitinho,Flamengo,Atacante,5.01,0.0,0.0,0.2,2,1
Artur,Bragantino,Atacante,13.8,18.1,6.14,10.05,2,2
Helinho,Bragantino,Atacante,13.92,0.0,0.0,15.0,2,1
Ferreira,Grêmio,Atacante,11.0,0.0,0.0,0.0,2,0
Léo Passos,América-MG,Atacante,4.0,0.0,0.0,0.0,2,0
Felipe Azevedo,América-MG,Atacante,6.42,1.0,0.08,3.05,2,2
Fred,Fluminense,Atacante,8.66,0.2,-3.34,0.2,2,1
Ademir,América-MG,Atacante,5.99,2.2,-0.28,2.1,2,2
David,Fortaleza,Atacante,9.0,3.2,0.44,4.25,2,2
Wellington Paulista,Fortaleza,Atacante,6.61,8.7,2.02,3.65,2,2
Victor Jacaré,Ceará,Atacante,3.0,0.0,0.0,0.0,2,0
Marcelo Toscano,América-MG,Atacante,4.0,0.0,0.0,0.0,2,0
Yony González,Ceará,Atacante,2.37,0.0,0.0,-1.6,2,1
Diego Souza,Grêmio,Atacante,19.0,0.0,0.0,0.0,2,0
Lohan ,América-MG,Atacante,1.0,0.0,0.0,0.0,2,0
Carlos Eduardo,Athlético-PR,Atacante,7.88,-1.0,-1.03,2.9,2,2
Matheus Peixoto,Juventude,Atacante,11.77,2.0,1.05,6.7,2,2
Luiz Adriano,Palmeiras,Atacante,10.04,8.7,1.89,5.2,2,2
Mendoza,Ceará,Atacante,8.0,0.0,0.0,0.0,2,0
Vitinho,Athlético-PR,Atacante,5.15,0.0,-0.7,1.7,2,2
Rodolfo José,América-MG,Atacante,6.27,0.3,-0.97,1.85,2,2
Matheus Babi,Athlético-PR,Atacante,5.13,2.2,-0.37,1.55,2,2
Janderson,Atlético-GO,Atacante,3.36,-0.5,-1.64,-0.5,2,1
Ribamar,América-MG,Atacante,1.89,-0.6,-1.11,-0.6,2,1
Marinho,Santos,Atacante,18.16,4.7,-2.03,5.35,2,2
Vinicius Mingotti,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,2,0
Leandro Carvalho,América-MG,Atacante,5.0,0.0,0.0,0.0,2,0
Reinaldo,Athlético-PR,Atacante,3.0,0.0,0.0,0.0,2,0
Maycon Douglas,Bahia,Atacante,1.68,1.1,-0.41,0.05,2,2
Pablo Dyego,Atlético-GO,Atacante,3.0,0.0,0.0,0.0,2,0
Roberson,Juventude,Atacante,5.0,0.0,0.0,0.0,2,0
Danilo Gomes,São Paulo,Atacante,4.0,0.0,0.0,0.0,2,0
Jael,Ceará,Atacante,6.0,0.0,0.0,0.0,2,0
André Luís,Atlético-GO,Atacante,3.2,0.8,-0.8,0.8,2,1
Luciano,São Paulo,Atacante,10.65,4.5,-1.67,2.1,2,2
Savarino,Atlético-MG,Atacante,6.82,0.0,0.0,-0.2,2,1
Marrony,Atlético-MG,Atacante,4.58,0.8,-0.71,1.2,2,2
Jô,Corinthians,Atacante,6.06,0.0,0.0,0.7,2,1
Arthur Gomes,Atlético-GO,Atacante,5.0,0.0,0.0,0.0,2,0
Keno,Atlético-MG,Atacante,16.0,0.0,0.0,0.0,2,0
Elton,Cuiabá,Atacante,10.79,0.0,0.0,8.5,2,1
Echaporã,Atlético-MG,Atacante,2.0,0.0,0.0,0.0,2,0
Eder,São Paulo,Atacante,5.4,1.3,-0.94,1.2,2,2
Joao Rojas,São Paulo,Atacante,5.19,-0.7,-1.21,1.25,2,2
Sávio,Atlético-MG,Atacante,3.41,0.0,0.0,1.9,2,1
Cuello,Bragantino,Atacante,7.5,10.0,3.88,6.1,2,2
Leandrinho,Bragantino,Atacante,3.0,0.0,0.0,0.0,2,0
Alesson,Bahia,Atacante,2.7,1.3,-0.3,1.3,2,1
Saulo Mineiro,Ceará,Atacante,9.55,3.5,1.13,5.3,2,2
Bruno Tubarão,Bragantino,Atacante,5.0,0.0,0.0,0.0,2,0
Felipe Vizeu,Ceará,Atacante,3.79,0.5,-1.21,0.5,2,1
Pedrinho,Bragantino,Atacante,4.07,3.4,0.73,2.1,2,2
Luis Phelipe,Bragantino,Atacante,2.0,0.0,0.0,0.0,2,0
Vitor Bueno,São Paulo,Atacante,6.0,0.0,0.0,0.0,2,0
Galeano,São Paulo,Atacante,2.1,-0.1,-0.9,-0.1,2,1
Mike,Chapecoense,Atacante,1.53,-0.1,-0.63,0.0,2,2
Paulinho Bóia,São Paulo,Atacante,2.0,0.0,0.0,0.0,2,0
Cléber,Ceará,Atacante,12.37,-0.1,-0.44,5.65,2,2
Chrigor,Bragantino,Atacante,2.0,0.0,0.0,0.0,2,0
Bruno Rodrigues,São Paulo,Atacante,3.0,0.0,0.0,0.0,2,0
Rick,Ceará,Atacante,11.17,0.3,0.59,6.25,2,2
Alerrandro,Bragantino,Atacante,4.96,-0.1,-2.04,-0.1,2,1
Geuvânio,Chapecoense,Atacante,3.38,0.5,-0.45,1.0,2,2
Ytalo,Bragantino,Atacante,13.39,7.7,2.39,7.75,2,2
Hurtado,Bragantino,Atacante,4.0,0.0,0.0,0.0,2,0
Pablo,São Paulo,Atacante,5.57,0.0,0.0,1.0,2,1
Anselmo Ramon,Chapecoense,Atacante,3.18,-0.1,-1.21,0.1,2,2
Pedro,Flamengo,Atacante,12.67,0.0,0.0,8.2,2,1
Yuri Alberto,Internacional,Atacante,2.09,-1.0,-1.67,-0.8,2,2
Michael,Flamengo,Atacante,3.27,0.0,0.0,0.7,2,1
Thiaguinho,Flamengo,Atacante,2.0,0.0,0.0,0.0,2,0
Cauê,Corinthians,Atacante,2.0,0.0,0.0,0.0,2,0
Taison,Internacional,Atacante,10.09,0.0,0.0,2.5,2,1
Rodrigo Muniz,Flamengo,Atacante,2.44,0.0,0.0,-0.5,2,1
Thiago Galhardo,Internacional,Atacante,6.6,-2.0,-3.84,-2.0,2,1
Marcos Guilherme ,Santos,Atacante,5.44,5.6,1.47,3.15,2,2
Kayky,Fluminense,Atacante,3.77,0.0,-1.1,0.5,2,2
John Kennedy,Fluminense,Atacante,4.0,0.0,0.0,0.0,2,0
Paolo Guerrero,Internacional,Atacante,13.0,0.0,0.0,0.0,2,0
Thiago Ribeiro,Chapecoense,Atacante,4.0,0.0,0.0,0.0,2,0
Abel Hernández,Fluminense,Atacante,3.83,0.7,-0.83,0.7,2,2
Caio Vidal,Internacional,Atacante,4.41,-1.0,-1.16,1.0,2,2
Lucca,Fluminense,Atacante,3.36,-0.5,-1.64,-0.5,2,1
Peglow,Internacional,Atacante,3.0,0.0,0.0,0.0,2,0
